Index,Gene,Sequence ID,Code,allele,single mutant strain,e1368 double strain
27,ins-27,ZC334.11,A,ok2474,QL13,QL29
23,ins-23,M04D8.3,B,tm1875,QL14,QL30
34,ins-34,F52B11.6,C,tm3095,QL15,QL31
26,ins-26,ZC334.1,D,tm1983,QL16,QL32
30,ins-30,ZC334.2,E,ok2343,QL17,QL33
20,ins-20,ZK84.7,F,tm1947,QL18,QL34
12,ins-12,C17C3.19,G,tm2918,QL19,QL35
5,ins-5,ZK84.3,H,tm2560,QL24,QL36
38,ins-38,C17C3.20,I,tm2632,QL20,QL37
29,ins-29,ZC334.10,J,tm1922,QL21,QL38
10,ins-10,T08G5.12,K,tm3498,QL22,QL39
11,ins-11,C17C3.4,L,tm1053,QL23,QL40
17,ins-17,F56F3.6,M,tm0790,QL25,QZ421
9,ins-9,C06E2.8,N,tm3618,QL26,QL42
4,ins-4,ZK75.1,O,tm3620,QL27,QL43
3,ins-3,ZK75.3,P,tm3608,QL28,QL44
15,ins-15,F41G3.17,Q,ok3444,QL45,QL54
16,ins-16,Y39A3A.5,R,ok2919,QL53,QL62
22,ins-22,M04D8.2,S,ok3616,QL46,QL55
25,ins-25,ZC334.8,T,ok2773,QL47,QL56
28,ins-28,ZC334.9,U,ok2722,QL48,QL57
31,ins-31,T10D4.4,V,ok3543,QL49,QL58
33,ins-33,W09C5.4,W,tm2988,QL50,QL59
35,ins-35,K02E2.4,X,ok3297,QL51,QL60
8,ins-8,Zk1251.11,Y,tm4144,QL52,QL61
2,ins-2,ZK75.2,Z,tm4467,QL76,QL77
1,ins-1,F13B12.5,AA,nr2091,QZ80,QZ135
6,ins-6,ZK84.6,AB,tm2416,QZ81,QZ128
7,ins-7,ZK1251.2,AC,tm2001,QZ126,QL135
13,ins-13,C17C3.18,AD,tm4856,QL127,QL128
14,ins-14,F41G3.16,AE,tm4886,QL131,QL136
18,ins-18,T28B8.2,AF,tm0339,QZ104,QL137
19,ins-19,T10D4.13,AG,tm5155,QL188,QL190
21,ins-21,M04D8.1,AH,tm5180,QL189,QL191
24,ins-24,ZC334.3,AI,,,
32,ins-32,Y8A9A.6,AJ,,,
36,ins-36,Y53H1A.4,AK,,,
37,ins-37,F08G2.6,AL,,,
39,ins-39,F21E9.4,AM,,,
40,daf-28,Y116F11B.1,AN,tm2308,QZ83,
